,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
41512,Manhattan,Midtown,40.753209999999996,-73.97334000000001,Private room,150,3,0,1,0,0.3017566584374162
41514,Manhattan,Upper West Side,40.793,-73.96546,Entire home/apt,169,3,2,1,0,0.1640125818598021
41516,Manhattan,Lower East Side,40.722840000000005,-73.99148000000001,Entire home/apt,250,30,1,1,83,0.1444549608193203
41522,Manhattan,Chelsea,40.73842,-73.99138,Entire home/apt,266,30,0,1,84,0.30584506436836006
41523,Manhattan,Midtown,40.75351,-73.97168,Private room,275,2,1,2,0,0.3999577249231298
41524,Manhattan,Washington Heights,40.835,-73.94933,Entire home/apt,120,2,12,1,5,0.3893413807662155
41527,Manhattan,Harlem,40.79971,-73.95325,Entire home/apt,99,5,4,3,175,0.13962425462561676
41528,Manhattan,Chelsea,40.73927,-73.99083,Entire home/apt,384,30,3,1,90,0.25830701047509497
41529,Manhattan,Gramercy,40.73683,-73.99025999999999,Entire home/apt,400,30,1,1,89,0.12424192080976008
41531,Manhattan,East Harlem,40.79088,-73.93964,Entire home/apt,250,2,2,1,37,0.6022838607611919
41532,Manhattan,SoHo,40.72702,-74.00288,Entire home/apt,88,29,2,1,53,0.11411060574452278
41533,Manhattan,SoHo,40.72545,-74.0041,Entire home/apt,195,2,4,1,0,0.09151616537094583
41534,Manhattan,Chelsea,40.73856,-73.99174000000001,Entire home/apt,230,30,1,1,90,0.32885647585218974
41535,Manhattan,Chelsea,40.7383,-73.99193000000001,Entire home/apt,390,30,2,1,0,0.30709344355381835
41536,Manhattan,Gramercy,40.73753,-73.98989,Entire home/apt,334,30,0,1,0,0.2072899065110287
41537,Manhattan,Gramercy,40.73723,-73.98955,Entire home/apt,330,30,1,1,58,0.18686722957547025
41542,Manhattan,Midtown,40.75241,-73.97166,Entire home/apt,769,5,0,16,132,0.3856173737691168
41543,Manhattan,Midtown,40.75159,-73.97270999999999,Entire home/apt,769,4,0,16,132,0.28185777927680183
41544,Manhattan,Midtown,40.75293,-73.97191,Entire home/apt,769,3,0,16,132,0.3865408020439091
41545,Manhattan,Midtown,40.75221,-73.97184,Entire home/apt,769,2,0,16,132,0.36516893757634455
41546,Manhattan,Midtown,40.75226,-73.97195,Entire home/apt,599,2,0,16,99,0.3575397774103638
41547,Manhattan,Midtown,40.75189,-73.97326,Entire home/apt,599,2,3,16,99,0.24032356758450152
41551,Manhattan,Chinatown,40.71604,-73.99239,Private room,130,3,11,2,176,0.2728052474188493
41553,Manhattan,Chinatown,40.716,-73.99069,Entire home/apt,67,6,2,1,44,0.25747852217817374
41556,Manhattan,Upper West Side,40.782270000000004,-73.9749,Entire home/apt,133,30,3,116,244,0.2505989042823858
41557,Manhattan,Kips Bay,40.7444,-73.98061,Entire home/apt,133,30,1,116,361,0.22400292126155077
41559,Manhattan,Upper East Side,40.77167,-73.9626,Entire home/apt,133,30,2,116,274,0.31600044300518454
41567,Manhattan,Nolita,40.72345,-73.99529,Entire home/apt,328,30,0,33,365,0.20183309334362376
41568,Manhattan,SoHo,40.72144,-73.99797,Entire home/apt,207,30,0,18,365,0.11852201549339411
41569,Manhattan,SoHo,40.72307,-73.99874,Entire home/apt,180,30,0,18,365,0.15982190738725202
41570,Manhattan,Nolita,40.72338,-73.99399,Private room,81,30,0,33,281,0.2833820031553616
41572,Manhattan,Harlem,40.81564,-73.93744000000001,Entire home/apt,119,1,5,1,90,0.3216933502023014
41573,Manhattan,East Village,40.720859999999995,-73.97954,Entire home/apt,250,11,7,4,365,0.7246104247538604
41574,Manhattan,Hell's Kitchen,40.76307,-73.98985,Entire home/apt,350,3,1,1,0,0.3334751860453175
41576,Manhattan,Lower East Side,40.719879999999996,-73.98794000000001,Entire home/apt,191,3,8,2,354,0.14168531389572991
41577,Manhattan,Hell's Kitchen,40.76589,-73.98938000000001,Entire home/apt,500,4,0,1,0,0.47711856750622184
41578,Manhattan,Chelsea,40.747240000000005,-73.99006999999999,Entire home/apt,699,1,0,2,0,0.2261819573546561
